file,segment,norm_area,compactness,eccentricity,extent,solidity,hu0c,hu1c,z00,z01,z10,z11,hog0,hog1,hog2,hog3
im1.jpg,0,0.37890625,0.08509519,0.83866113,0.41257089,0.55463785,0.86521053,0.55689031,0.25000000,0.54687500,0.47395834,0.24479167,0.70710677,0.00000000,0.70710677,0.00000000
im1.jpg,1,0.20876735,0.12617759,0.79906839,0.31437910,0.45291901,0.88863081,0.55517459,0.26388890,0.12500000,0.12847222,0.31770834,0.70710683,0.00000000,0.70710683,0.00000000
im1.jpg,2,0.13975695,0.14172408,0.39493757,0.24864864,0.40300375,0.92124730,0.50275248,0.21180555,0.22048610,0.06423611,0.06250000,0.91044694,0.00000000,0.41362590,0.00000000
im1.jpg,3,0.18706597,0.16955177,0.89670998,0.41682786,0.54764932,0.88825071,0.60946286,0.18229167,0.07638889,0.24131945,0.24826390,0.73660004,0.00000000,0.67632854,0.00000000
im1.jpg,4,0.15451390,0.16660689,0.87457514,0.28253970,0.35177866,0.95842057,0.73069680,0.18576390,0.18923610,0.03472222,0.20833333,0.90453410,0.00000000,0.42640141,0.00000000
im1.jpg,5,0.20269097,0.17151135,0.81674254,0.33500716,0.50650758,0.90037173,0.57155490,0.18923610,0.33159721,0.18923610,0.10069445,0.73554522,0.00000000,0.67747575,0.00000000
im10.jpg,0,0.19140625,0.09402861,0.85354358,0.25128207,0.40495867,0.94035649,0.65380758,0.14062500,0.26562500,0.19791667,0.16145833,0.70710677,0.00000000,0.70710677,0.00000000
im10.jpg,1,0.34635416,0.15491319,0.77684683,0.49937421,0.67284989,0.80831933,0.52043074,0.22048610,0.38715279,0.44618055,0.33159721,0.70710677,0.00000000,0.70710677,0.00000000
im10.jpg,2,0.18880208,0.11121764,0.71575189,0.33720931,0.47385621,0.87890851,0.52698696,0.16666667,0.22222222,0.24652778,0.11979166,0.70710683,0.00000000,0.70710683,0.00000000
im10.jpg,3,0.27256945,0.10405679,0.73422778,0.37380952,0.45114943,0.90703905,0.54283285,0.37500000,0.23611110,0.19791667,0.28125000,0.80688012,0.00000000,0.59071523,0.00000000
im10.jpg,4,0.22178820,0.08524453,0.67634416,0.34714675,0.41988495,0.91411322,0.53044027,0.24652778,0.21527778,0.18055555,0.24479167,0.70710683,0.00000000,0.70710683,0.00000000
